Complexity metrics,ÖÜ¶þ, 18 3ÔÂ 2025 00:15:57 CST
Method,CogC,ev(G),iv(G),v(G)
Main.main(String[]),0,1,1,1
expr.Constant.Constant(BigInteger),0,1,1,1
expr.Constant.toMono(),0,1,1,1
expr.Constant.toPoly(),0,1,1,1
expr.Expression.Expression(),0,1,1,1
"expr.Expression.Expression(ArrayList<Term>, BigInteger)",0,1,1,1
"expr.Expression.Expression(Term, BigInteger)",0,1,1,1
expr.Expression.addTerm(Term),0,1,1,1
expr.Expression.getExponential(),0,1,1,1
expr.Expression.getTerms(),0,1,1,1
expr.Expression.setExponential(String),0,1,1,1
expr.Expression.toMono(),0,1,1,1
expr.Expression.toPoly(),6,1,4,4
"expr.RecursiveFunc.callFunc(String, Integer, ArrayList<Factor>)",3,1,3,3
expr.RecursiveFunc.paraLength(String),0,1,1,1
expr.RecursiveFunc.setFunc(Scanner),1,1,2,2
"expr.SelfFunc.callFunc(String, ArrayList<Factor>)",1,1,2,2
expr.SelfFunc.paraLength(String),0,1,1,1
expr.SelfFunc.setFunc(Scanner),1,1,2,2
expr.Term.Term(boolean),0,1,1,1
"expr.Term.Term(boolean, ArrayList<Factor>)",0,1,1,1
"expr.Term.Term(boolean, Factor)",0,1,1,1
expr.Term.addFactor(Factor),0,1,1,1
expr.Term.getFactors(),0,1,1,1
expr.Term.getSign(),0,1,1,1
expr.Term.toMono(),0,1,1,1
expr.Term.toPoly(),7,1,4,6
"expr.TrigonometricFunction.TrigonometricFunction(String, Factor, BigInteger)",0,1,1,1
expr.TrigonometricFunction.getExponent(),0,1,1,1
expr.TrigonometricFunction.getFactor(),0,1,1,1
expr.TrigonometricFunction.getType(),0,1,1,1
expr.TrigonometricFunction.toMono(),21,7,11,15
expr.TrigonometricFunction.toPoly(),0,1,1,1
expr.Variable.Variable(BigInteger),0,1,1,1
expr.Variable.getExp(),0,1,1,1
expr.Variable.toMono(),0,1,1,1
expr.Variable.toPoly(),0,1,1,1
parse.Lexer.Lexer(String),0,1,1,1
parse.Lexer.getNumber(),2,1,3,3
parse.Lexer.next(),9,2,7,13
parse.Lexer.peek(),0,1,1,1
parse.Lexer.preProcess(String),0,1,1,1
parse.Parser.Parser(Lexer),0,1,1,1
parse.Parser.parseConstant(),3,1,3,3
parse.Parser.parseExpression(),5,1,4,4
parse.Parser.parseFactor(),9,7,9,9
parse.Parser.parseFactorLeft(),1,1,2,2
parse.Parser.parseRecFunc(),1,1,2,2
parse.Parser.parseSelfFunc(String),1,1,2,2
parse.Parser.parseTerm(boolean),1,1,2,2
parse.Parser.parseTrigonometricFunction(),2,2,2,2
parse.Parser.parseVariable(),2,2,2,2
